round,accuracy,recall,precision,f1score,fpr
0,0.8500341621294473,0.0,1.0,0.0,0.0
1,0.8756947678748318,0.2080147557265146,0.8493177136972193,0.3341817675290304,0.0065109164233069115
2,0.8756876753912096,0.20803052039159428,0.8491088089569526,0.33418593461139107,0.006522041440689751
3,0.8756876753912096,0.20803052039159428,0.8491088089569526,0.33418593461139107,0.006522041440689751
4,0.8756876753912096,0.20803052039159428,0.8491088089569526,0.33418593461139107,0.006522041440689751
5,0.8756876753912096,0.20803052039159428,0.8491088089569526,0.33418593461139107,0.006522041440689751
6,0.8756876753912096,0.20803052039159428,0.8491088089569526,0.33418593461139107,0.006522041440689751
7,0.8756876753912096,0.20803052039159428,0.8491088089569526,0.33418593461139107,0.006522041440689751
8,0.8756876753912096,0.20803052039159428,0.8491088089569526,0.33418593461139107,0.006522041440689751
9,0.8756876753912096,0.20803052039159428,0.8491088089569526,0.33418593461139107,0.006522041440689751
10,0.8756876753912096,0.20803052039159428,0.8491088089569526,0.33418593461139107,0.006522041440689751
11,0.8756876753912096,0.20803052039159428,0.8491088089569526,0.33418593461139107,0.006522041440689751
12,0.8756876753912096,0.20803052039159428,0.8491088089569526,0.33418593461139107,0.006522041440689751
